Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,62.22%,90,56,0,2:16:22,3,0,6,0:13:52,0:02:18,0:52:01,1:08:11,72.34%,47,34,12,0,0,0,1,0,0,0,0,0,0,0
routing/VRF/test_vrf.py,17.65%,17,3,0,0:40:56,1,0,2,0:08:34,0:00:24,0:11:30,0:20:28,20.00%,5,1,4,0,0,0,0,0,0,0,0,0,0,0
routing/test_ip.py,33.33%,21,7,0,0:18:30,1,0,2,0:01:29,0:00:48,0:06:58,0:09:15,42.86%,7,3,4,0,0,0,0,0,0,0,0,0,0,0
routing/BGP/test_bgp.py,88.46%,52,46,0,1:16:56,1,0,2,0:03:49,0:01:06,0:33:33,0:38:28,85.71%,35,30,4,0,0,0,1,0,0,0,0,0,0,0
