Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,64.39%,132,85,47,6,67.46%,2:47:23,0,3.03%,0.00%,0.00%,1.52%,5:30:15
sFlow Hardening,0.00%,4,0,4,4,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:30:52,0,0.00%,0.00%,0.00%,0.00%,1:01:44
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:39,0,0.00%,0.00%,0.00%,0.00%,0:07:18
VRF-Lite,19.05%,21,4,17,0,19.05%,0:45:35,0,0.00%,0.00%,0.00%,0.00%,1:31:10
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,79.79%,94,75,19,1,80.65%,1:22:30,0,0.00%,0.00%,0.00%,1.06%,2:43:08
NAT,100.00%,3,3,0,0,100.00%,0:02:39,0,0.00%,0.00%,0.00%,0.00%,0:02:39
