#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw5,routing/NAT/test_nat.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:39
2,gw5,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:05:30
3,gw5,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:01:42
4,gw5,qos/test_qos_save_reboot.py,V3,UNKNOWN,VS,scapy,8,8,100.00%,0:07:10
5,gw5,routing/test_ndp.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:50
6,gw5,routing/test_arp.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:02:44
7,gw2,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,3,17.65%,0:20:48
8,gw2,routing/BGP/test_bgp.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,52,45,86.54%,0:38:19
9,gw2,routing/test_ip.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,21,7,33.33%,0:09:16
10,gw2,sanity/test_sanity_l3.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:03:39
11,gw2,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:08:05
12,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:09:02
13,gw3,routing/VRF/test_vrf_scale.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,6,1,16.67%,0:55:39
