#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Instrumentation,ft_sf_wm_telemetry_interval,Pass,Mapped,2023-12-28 01:33:01,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V3,
2,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,Fail,SubTest,2023-12-28 01:33:01,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V3,
3,Regression,ft_tacacsauth_enable_pamfile_created,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
4,Regression,ft_tacacs_ssh_login,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
5,Regression,ft_tacacs_single_server_for_auth,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
6,Regression,ft_tacacs_default_login,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
7,Regression,executing_server_key_in_appropriate_mode,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
8,Regression,auth_shared_keys ,Fail,Mapped,2023-12-28 01:39:08,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V3,
