Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,58.14%,86,50,36,2,59.52%,0:48:40,0,2.33%,0.00%,0.00%,0.00%,1:20:16
warmboot,0.00%,3,0,3,0,0.00%,0:05:15,0,0.00%,0.00%,0.00%,0.00%,0:10:30
PortChannel Config Enhancements,0.00%,1,0,1,0,0.00%,0:00:39,0,0.00%,0.00%,0.00%,0.00%,0:01:18
Instrumentation Enhancements,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
SNMP MIB and Traps,33.33%,3,1,2,1,50.00%,0:00:12,0,33.33%,0.00%,0.00%,0.00%,0:00:12
Regression,46.94%,49,23,26,0,46.94%,0:38:24,0,0.00%,0.00%,0.00%,0.00%,1:04:06
Control Plane ACL,66.67%,3,2,1,0,66.67%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:12,0,0.00%,0.00%,0.00%,0.00%,0:02:12
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:39,0,0.00%,0.00%,0.00%,0.00%,0:01:39
