Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,75.00%,12,9,0,2:32:26,4,0,8,0:39:36,0:02:55,0:33:42,1:16:13,66.67%,9,6,3,0,0,0,0,0,0,0,0,0,0,0
sanity/test_sanity_l3.py,0.00%,1,0,0,0:09:42,1,0,2,0:03:18,0:00:38,0:00:55,0:04:51,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,0
system/test_sflow.py,50.00%,4,2,0,0:19:52,1,0,2,0:02:43,0:00:35,0:06:38,0:09:56,33.33%,3,1,2,0,0,0,0,0,0,0,0,0,0,0
routing/VRF/test_vrf_scale.py,100.00%,6,6,0,1:43:36,1,0,2,0:27:50,0:00:25,0:23:33,0:51:48,100.00%,4,4,0,0,0,0,0,0,0,0,0,0,0,0
routing/BGP/test_bgp_rr_traffic.py,100.00%,1,1,0,0:19:16,1,0,2,0:05:45,0:01:17,0:02:36,0:09:38,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,0
