Testcase,Function,Module,Pass Rate,339644,338707,337915,336608,335774,334935,334211,333447,332645,331911,331246,329743,328972,328195
ft_bgp_confedv6_config_adv,TestBGPConfed.test_ipv6_confed_route_distribution,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_confedv6_route_reflector,TestBGPConfed.test_ipv6_confed_with_rr,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_confedv6_route_maps_filter,TestBGPConfed.test_confed_route_distribution_with_rmap,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_ibgp_RR_Loop,test_ft_bgp_ibgp_RR_Loop,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
test_ft_bgp_ebgp_community_sub,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_ebgp_community_map,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn006,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSysImLogFn018,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_bgp_v6peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v6peer_sonic_clear,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v6peer_auth_simple,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v4peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v4peer_sonic_clear,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v4peer_auth_simple,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v4peer_asn4,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_sonic_show_summary_neigh,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_ipv4_bgp_ibgp_ebgp_traffic,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_update_delay_timer,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn049,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn025,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn063,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfCli006,test_VrfFun001_06,routing/VRF/test_vrf.py,0,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail
FtOpSoRoVrfCli001,test_VrfFun001_06,routing/VRF/test_vrf.py,0,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail
FtOpSoRoVrfFun037,test_VrfFun_26_27,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun027,test_VrfFun_26_27,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun026,test_VrfFun_26_27,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn001,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,routing/BGP/test_bgp.py,42,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Fail
FtOpSoRoVrfFun014,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun012,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun010,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun045,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun044,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun033,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun032,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun025,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun024,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun020,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn002,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,routing/BGP/test_bgp.py,64,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass
FtOtSoRtBgp4Fn061,TestBGPRif.test_bgp_route_aggregation_4byteASN,routing/BGP/test_bgp.py,71,Pass,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
FtOtSoRtBgpPlFn001,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn060,TestBGPRif.test_ft_bgp_v4_dyn_nbr,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn004,TestBGPRif.test_ft_bgp_v6_dyn_nbr,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn019,TestBGPRif.test_ft_bgp_v4_max_dyn_nbr,routing/BGP/test_bgp.py,64,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass
FtOtSoRtBgp4Fn078,TestBGPRif.test_ft_bgp_rmap,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfFun050,test_VrfFun_05_50,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoRoVrfCli005,test_VrfFun_05_50,routing/VRF/test_vrf.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn034,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn033,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn018,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn077,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn039,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_outbound_routefilter,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn036,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn032,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgp4Fn027,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,0,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
ft_bgp_v6peer_route_redist_static_conn,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
bgp_redis_st_ipv6,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_bgp_v6_as_path_acl,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn014,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn012,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn007,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn016,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn018,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
bgp_default_ipv6,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOtSoRtBgpPlFn038,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
