#,Node,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,gw2,V1,reboot,fast,,,SONiC.master.449712-5d511d448,system/test_ssh.py,test_ft_ssh_add_user_verify
2,gw3,V3,reboot,normal,,,SONiC.master.449712-5d511d448,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot
3,gw3,V3,reboot,fast,,,SONiC.master.449712-5d511d448,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot
