Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,Node,TS
,58.14%,86,50,0,1:56:30,9,0,14,0:21:02,0:09:31,0:38:13,1:08:46,68.18%,66,45,17,1,0,2,0,0,1,0,0,0,0,,0
system/test_lldp.py,0.00%,16,0,0,0:17:54,1,0,2,0:04:25,0:04:32,0:00:00,0:08:57,0.00%,12,0,12,0,0,0,0,0,0,0,0,0,0,2,0
system/test_interface.py,0.00%,1,0,0,0:09:50,1,0,2,0:03:23,0:00:30,0:01:02,0:04:55,0.00%,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
security/test_tacacs.py,0.00%,6,0,0,0:01:22,1,0,1,0:00:33,0:00:43,0:00:06,0:01:22,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0
system/test_ntp.py,33.33%,3,1,0,0:08:34,1,0,1,0:02:56,0:00:25,0:05:13,0:08:34,50.00%,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0
system/test_ssh.py,66.67%,6,4,0,0:31:30,1,0,2,0:03:09,0:00:56,0:11:40,0:15:45,66.67%,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0
switching/test_vlan.py,57.14%,7,4,0,0:31:02,1,0,2,0:00:40,0:00:27,0:14:24,0:15:31,75.00%,4,3,0,0,0,1,0,0,0,0,0,0,0,3,0
system/test_snmp.py,88.10%,42,37,0,0:09:21,1,0,1,0:04:11,0:00:47,0:04:23,0:09:21,90.00%,40,36,3,0,0,0,0,0,1,0,0,0,0,7,0
switching/test_portchannel.py,100.00%,3,3,0,0:05:12,1,0,2,0:00:50,0:00:37,0:01:09,0:02:36,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
system/test_snapshot.py,50.00%,2,1,0,0:01:45,1,0,1,0:00:55,0:00:34,0:00:16,0:01:45,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0
