#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,FtOpSoRtPerfFn052,Fail,Mapped,2023-12-28 02:07:26,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
2,L3 Performance enhancements,FtOpSoRtPerfFn026,Fail,Mapped,2023-12-28 02:07:26,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
3,L3 Performance enhancements,FtOpSoRtPerfFn025,Pass,SubTest,2023-12-28 02:07:26,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
4,Regression,FtOpSoRtPerfFn053,Pass,SubTest,2023-12-28 02:07:26,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
5,Regression,FtOpSoRtPerfFn055,Pass,Mapped,2023-12-28 02:08:35,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V3,
6,Regression,FtOpSoRtPerfFn054,Pass,SubTest,2023-12-28 02:08:35,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V3,
7,Regression,FtOpSoRtPerfFn057,Pass,Mapped,2023-12-28 02:08:57,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V3,
8,Regression,FtOpSoRtPerfFn056,Pass,SubTest,2023-12-28 02:08:57,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V3,
9,Regression,ft_arp_dynamic_renew_traffic_test,Pass,Mapped,2023-12-28 02:12:35,Test case passed,test_ft_arp_dynamic_renew_traffic_test,routing/test_arp.py,V3,
10,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
11,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
12,Regression,ft_acl_configvalues_save_reload,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
13,Regression,FtOpSoQosWredCfg001,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
14,Regression,FtOpSoQosEcnCfg001,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
15,Regression,FtOpSoQosAclCmFn002,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
16,Regression,FtOpSoQosAclCmFn001,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
17,Regression,FtFpSoQoSCoSCfg001,Pass,Mapped,2023-12-28 02:22:15,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V3,
