Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,15.38%,26,4,0,1:39:20,4,0,8,0:04:48,0:29:16,0:15:36,0:49:40,16.67%,18,3,13,0,0,0,0,1,1,0,0,0,0,0
system/test_lldp.py,0.00%,16,0,0,0:07:56,1,0,2,0:01:56,0:02:02,0:00:00,0:03:58,0.00%,12,0,12,0,0,0,0,0,0,0,0,0,0,0
system/test_interface.py,0.00%,1,0,0,0:04:52,1,0,2,0:00:51,0:00:09,0:01:26,0:02:26,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,0
system/test_ssh.py,16.67%,6,1,0,1:23:14,1,0,2,0:01:32,0:26:52,0:13:13,0:41:37,33.33%,3,1,0,0,0,0,0,1,1,0,0,0,0,0
switching/test_portchannel.py,100.00%,3,3,0,0:03:18,1,0,2,0:00:29,0:00:13,0:00:57,0:01:39,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,0
