#,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:04:23
2,qos/test_qos_save_reboot.py,V3,UNKNOWN,VS,scapy,8,8,100.00%,0:08:06
