#,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,routing/NAT/test_nat.py,test_ft_nat_docker_restart,,0:01:08,0:00:00.000,0:00:21.437,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,routing/NAT/test_nat.py,test_ft_nat_docker_restart,Pass,0:00:52,0:00:00.000,0:00:14.903,0:00:00.000,0:00:20,0:00:00,0,0,Test case passed
3,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,,0:02:06,0:01:07.514,0:00:11.733,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,Pass,0:00:59,0:00:00.000,0:00:01.636,0:00:00.000,0:00:15,0:00:10,0,0,Test case passed
