#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
29,gw5,Instrumentation,ft_sf_wm_telemetry_interval,Pass,Mapped,2024-01-05 03:18:33,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V4,
30,gw5,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,Fail,SubTest,2024-01-05 03:18:33,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V4,
31,gw4,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-05 03:19:40,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V3,
32,gw4,Regression,ft_snmp_test_syUpTime,Pass,Mapped,2024-01-05 03:19:45,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V3,
33,gw4,Regression,ft_snmp_sysDescr,Pass,Mapped,2024-01-05 03:19:53,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V3,
34,gw4,Regression,FtOpSoSySnFn008,Pass,Mapped,2024-01-05 03:20:04,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V3,
35,gw4,Regression,FtOpSoSySnFn009,Pass,Mapped,2024-01-05 03:20:08,Test case passed,test_ft_snmp_if_mib_all,system/test_snmp.py,V3,
36,gw4,Regression,FtOpSoSySnFn010,Pass,Mapped,2024-01-05 03:20:13,Test case passed,test_ft_snmp_entity_mib_all,system/test_snmp.py,V3,
37,gw4,Regression,FtOpSoSySnFn013,Pass,Mapped,2024-01-05 03:20:18,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V3,
38,gw4,Regression,FtOpSoSySnFn012,Pass,Mapped,2024-01-05 03:20:18,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V3,
39,gw4,Regression,FtOpSoSySnFn015,Pass,Mapped,2024-01-05 03:20:34,Test case passed,test_ft_snmp_root_node_walk,system/test_snmp.py,V3,
40,gw4,Regression,FtOpSoSySnFn016,Pass,Mapped,2024-01-05 03:20:44,Test case passed,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,V3,
41,gw4,Regression,FtOpSoSySnFn017,Pass,Mapped,2024-01-05 03:20:49,Test case passed,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,V3,
42,gw4,Regression,FtOpSoSySnFn020,Pass,Mapped,2024-01-05 03:20:54,Test case passed,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,V3,
43,gw4,Regression,FtOpSoSySnFn021,Pass,Mapped,2024-01-05 03:20:58,Test case passed,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,V3,
44,gw4,Regression,test_snmp_ip_forward_table,Pass,Mapped,2024-01-05 03:21:05,Test case passed,test_ft_snmp_ip_forward_table,system/test_snmp.py,V3,
45,gw4,SNMP Agent Optimization,ft_snmp_ifXTable,Pass,Mapped,2024-01-05 03:21:11,Test case passed,test_ft_snmp_ifx_table,system/test_snmp.py,V3,
