#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf_scale.py,--Module--,V3,NE,NE,NE,NE,NE,NE
4,routing/VRF/test_vrf_scale.py,--Module--,V4,NE,NE,NE,NE,NE,NE
