#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
35,gw4,system/test_snmp.py,test_ft_net_snmp_agent_mib,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
36,gw4,system/test_snmp.py,test_ft_net_snmp_vacm_mib,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
37,gw4,system/test_snmp.py,test_ft_snmp_ucd_diskio_mib,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
38,gw4,system/test_snmp.py,test_ft_snmp_ucd_la_table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
39,gw4,system/test_snmp.py,test_ft_snmp_ucd_system_stats,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
40,gw4,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_port,Pass,0:00:06,0:00:00.000,0:00:00.715,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
41,gw4,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_address,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
42,gw4,system/test_snmp.py,test_ft_snmp_coldstart_trap,EnvFail,0:00:19,0:00:00.000,0:00:00.000,0:00:00.000,0:00:09,0:00:00,0,0,Test case Failed Couldn't get the snmptrapd process details from snmp trap server. Please check the snmp trap server process in the server.
43,gw4,system/test_snmp.py,test_ft_snmp_docker_restart,Pass,0:00:15,0:00:00.000,0:00:07.827,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
44,gw4,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,,0:02:26,0:01:47.159,0:00:11.911,0:00:00.000,0:00:15,0:00:00,0,0,Module Configuration
45,gw4,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,Pass,0:14:33,0:00:00.000,0:02:22.796,0:00:00.000,0:08:46,0:00:00,0,0,Test case passed
46,gw4,system/test_ntp.py,test_ntp_exists_config,Pass,0:00:11,0:00:00.000,0:00:04.263,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
47,gw4,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,,0:02:28,0:01:45.960,0:00:13.513,0:00:00.000,0:00:15,0:00:00,0,0,Module Configuration
48,gw4,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,Pass,0:00:06,0:00:00.000,0:00:00.517,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
49,gw2,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,,0:00:29,0:00:00.000,0:00:18.058,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
50,gw2,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,Pass,0:00:36,0:00:00.000,0:00:23.658,0:00:00.000,0:00:12,0:00:00,0,0,Test case passed
51,gw2,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,Pass,0:00:23,0:00:00.000,0:00:11.058,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
52,gw2,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,,0:00:53,0:00:36.470,0:00:17.643,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
53,gw2,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,Fail,0:01:25,0:00:25.439,0:00:32.876,0:00:00.000,0:00:00,0:00:00,0,0,interface is down on DUT ['Ethernet48']
54,gw2,system/test_ssh.py,test_ft_ssh_service_disable,,0:01:29,0:00:57.057,0:00:26.870,0:00:00.000,0:00:15,0:00:00,0,0,Module Configuration
55,gw2,system/test_ssh.py,test_ft_ssh_service_disable,Pass,0:00:08,0:00:00.000,0:00:00.670,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
56,gw2,system/test_ssh.py,test_ft_ssh_add_user_verify,EnvFail,0:13:04,0:00:00.000,0:01:43.901,0:00:00.000,0:07:13,0:00:00,0,0,Console hang observed. Exiting.
57,gw2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,ConfigFail,0:00:00,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,module configuration failed.  @5445
58,gw3,switching/test_vlan.py,test_ft_add_unknownvlan_interface,,0:00:19,0:00:00.000,0:00:11.465,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
59,gw3,switching/test_vlan.py,test_ft_add_unknownvlan_interface,Pass,0:00:08,0:00:00.000,0:00:01.685,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
60,gw3,switching/test_vlan.py,test_ft_vlan_delete_with_member,Pass,0:00:12,0:00:00.000,0:00:04.080,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
61,gw3,switching/test_vlan.py,test_ft_vlan_trunk_tagged,Fail,0:00:36,0:00:00.000,0:00:01.782,0:00:00.000,0:00:05,0:00:00,0,0,Failed to learn  MAC Adresses in vlan 1172
62,gw3,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,DUTFail,0:28:57,0:01:48.781,0:14:10.767,0:00:00.000,0:11:06,0:00:00,0,0,config command 'show interfaces counters -a' failed
