Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.28%,86,57,29,22,89.06%,1:43:41,0,25.58%,0.00%,0.00%,0.00%,2:59:41
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:04,0,100.00%,0.00%,0.00%,0.00%,0:26:08
warmboot,0.00%,3,0,3,0,0.00%,0:28:57,0,0.00%,0.00%,0.00%,0.00%,0:57:54
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,59.18%,49,29,20,16,87.88%,0:57:38,0,32.65%,0.00%,0.00%,0.00%,1:31:14
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,1,100.00%,0:02:09,0,4.17%,0.00%,0.00%,0.00%,0:02:09
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:23,0,0.00%,0.00%,0.00%,0.00%,0:00:46
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
