#,Node,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,gw7,V4,reboot,normal,,,SONiC.master.444338-6d3cef1a9,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
2,gw2,V1,reboot,fast,,,SONiC.master.444338-6d3cef1a9,routing/VRF/test_vrf_scale.py,test_vrf_reload
3,gw2,V2,reboot,normal,,,SONiC.master.444338-6d3cef1a9,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
4,gw3,V3,reboot,fast,,,SONiC.master.444338-6d3cef1a9,routing/VRF/test_vrf.py,test_VrfFun_05_50
5,gw3,V3,reboot,fast,,,SONiC.master.444338-6d3cef1a9,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication
