Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,100.00%,5,5,0,0,100.00%,0:07:08,0,0.00%,0.00%,0.00%,0.00%,0:07:08
NAT,100.00%,3,3,0,0,100.00%,0:02:40,0,0.00%,0.00%,0.00%,0.00%,0:02:40
Regression,100.00%,2,2,0,0,100.00%,0:04:28,0,0.00%,0.00%,0.00%,0.00%,0:04:28
