Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,79.84%,124,99,25,6,83.90%,3:06:44,0,3.23%,0.00%,0.00%,1.61%,5:53:54
NAT,0.00%,3,0,3,3,0.00%,0:12:48,0,100.00%,0.00%,0.00%,0.00%,0:12:48
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:34:13,0,0.00%,0.00%,0.00%,0.00%,1:08:26
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:06,0,0.00%,0.00%,0.00%,0.00%,0:08:12
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:09,0,0.00%,0.00%,0.00%,25.00%,0:04:18
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:11:47,0,0.00%,0.00%,0.00%,0.00%,0:23:34
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:51,0,0.00%,0.00%,0.00%,0.00%,1:27:42
Regression,88.37%,86,76,10,2,90.48%,1:17:50,0,1.16%,0.00%,0.00%,1.16%,2:28:54
