#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw7,routing/test_l3_performance.py,V1,UNKNOWN,VS,scapy,8,6,75.00%,0:04:23
2,gw7,routing/test_arp.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:02:03
3,gw7,routing/test_ndp.py,V1,UNKNOWN,VS,scapy,3,3,100.00%,0:02:08
4,gw2,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,48,92.31%,0:38:09
5,gw2,routing/VRF/test_vrf.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,17,15,88.24%,0:18:20
6,gw2,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:11:47
7,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:18
8,gw3,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,2,33.33%,0:59:44
9,gw3,routing/test_ip.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,21,15,71.43%,0:10:10
10,gw3,sanity/test_sanity_l3.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:06
