Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.28%,86,57,29,23,90.48%,1:30:48,0,26.74%,0.00%,0.00%,0.00%,2:44:45
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:10,0,100.00%,0.00%,0.00%,0.00%,0:26:20
warmboot,0.00%,3,0,3,0,0.00%,0:29:07,0,0.00%,0.00%,0.00%,0.00%,0:58:14
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,59.18%,49,29,20,17,90.62%,0:44:32,0,34.69%,0.00%,0.00%,0.00%,1:15:51
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,1,100.00%,0:02:08,0,4.17%,0.00%,0.00%,0.00%,0:02:08
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
