Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,68.60%,86,59,27,6,73.75%,1:49:09,0,6.98%,0.00%,0.00%,0.00%,3:10:29
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:06,0,100.00%,0.00%,0.00%,0.00%,0:26:12
warmboot,0.00%,3,0,3,0,0.00%,0:28:48,0,0.00%,0.00%,0.00%,0.00%,0:57:36
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,63.27%,49,31,18,1,64.58%,1:03:17,0,2.04%,0.00%,0.00%,0.00%,1:42:23
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:08,0,0.00%,0.00%,0.00%,0.00%,0:02:08
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:20,0,0.00%,0.00%,0.00%,0.00%,0:00:40
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
