Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,FtOtSoRtBgp4Fn034,Pass,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn033,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn018,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn077,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn039,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,ft_bgp_outbound_routefilter,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn036,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn032,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn027,Unsupported,UI 'klish' unsupported router bgp 65001,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,ft_bgp_v6peer_route_redist_static_conn,Pass,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,bgp_redis_st_ipv6,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,ft_bgp_v6_as_path_acl,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn014,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn012,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn007,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn016,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn018,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,bgp_default_ipv6,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn038,Fail,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn016,Pass,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn014,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn015,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn002,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn005,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,bgp_lag_clear,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgpPlFn032,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn070,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn069,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",,,,,
Regression,,bgpl3lag_traffic,Pass,Test case passed,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",,,,,
sFlow Hardening,,FtOpSfFn008,Pass,Successfully verified sFlow sampling functionality.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V1, V2",,,,,
sFlow Hardening,,FtOpSfFn004,Fail,sFlow collector failed to receive sflow sample packets with default sampling rate.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V1, V2",,,,,
sFlow Hardening,,FtOpSfFn005,Pass,Successfully verified sFlow sampling functionality.,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,"V1, V2",,,,,
sFlow Hardening,,FtOpSfFn017,Pass,Test case passed,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,"V1, V2",,,,,
L3 Scale and Performance,,FtRtPerfFn024,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
L3 Scale and Performance,,FtRtPerfFn023,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun052,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfScl057,Pass,Test case passed,test_vrf_route_leak,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfScl056,Pass,Test case passed,test_vrf_bgp,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
NAT,,ft_static_nat_docker_restart,EnvFail,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
NAT,,ft_static_napt_docker_restart,EnvFail,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
NAT,,ft_dynamic_napt_docker_restart,EnvFail,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
VRF-Lite,,FtOpSoRoVrfScl058,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_reload,routing/VRF/test_vrf_scale.py,"V3, V4",,,,,
Sanity,,l2_to_l3_port,Fail,Failed to port L2 config to L3 config,test_l2_to_l3_port,sanity/test_sanity_l3.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn025,Pass,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V3, V4",,,,,
--NE--,,FtOpSoRtIpv4Fn003,--NE--,--NE-- Check if gw2 is Dead,test_l3_v4_route_po_1,routing/test_ip.py,,,,,,
--NE--,,ft_ipv4_address_check ,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_vlan,routing/test_ip.py,,,,,,
--NE--,,ft_ipv6_address_check ,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_vlan,routing/test_ip.py,,,,,,
--NE--,,ft_ping_vlan ,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_vlan,routing/test_ip.py,,,,,,
--NE--,,ft_ip6_address_check_pc,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,,,,,,
--NE--,,ft_ip_address_check_pc,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,,,,,,
--NE--,,ft_ping6_after_ip_change,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,,,,,,
--NE--,,ft_ping_after_ip_change,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,,,,,,
--NE--,,CETA_SONIC_40640,--NE--,--NE-- Check if gw2 is Dead,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,,,,,,
--NE--,,ft_ip6_connected_host_traffic_forward,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,,,,,,
--NE--,,ft_ip6_static_route_traffic_forward ,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,,,,,,
--NE--,,ft_ip6_static_route_traffic_fwd_blackhole ,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,,,,,,
--NE--,,RIF_COUNT_FUNC_0031,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,,,,,,
--NE--,,ft_ip_static_route_traffic_forward,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,,,,,,
--NE--,,RIF_COUNT_FUNC_001,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,,,,,,
--NE--,,RIF_COUNT_FUNC_021,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,,,,,,
--NE--,,ft_ip6_L2_L3_translation,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,,,,,,
--NE--,,ft_ip_L2_L3_translation,--NE--,--NE-- Check if gw2 is Dead,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,,,,,,
--NE--,,ipv4_intf_order,--NE--,--NE-- Check if gw2 is Dead,test_ft_verify_interfaces_order,routing/test_ip.py,,,,,,
--NE--,,ipv6_intf_order,--NE--,--NE-- Check if gw2 is Dead,test_ft_verify_interfaces_order,routing/test_ip.py,,,,,,
