Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,100.00%,2,2,0,0:04:00,2,0,2,0:01:45,0:00:54,0:01:21,0:04:00,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,0
system/test_device_mgmt.py,100.00%,1,1,0,0:01:15,1,0,1,0:00:29,0:00:24,0:00:22,0:01:15,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,0
routing/test_arp.py,100.00%,1,1,0,0:02:45,1,0,1,0:01:16,0:00:30,0:00:59,0:02:45,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,0
