#,Node,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
74,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
75,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_aggregate_ipv6,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
76,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_aggregate_ipv6,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
77,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_static_blackhole_rt_redistribute_with_routemap_ipv6,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
78,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_static_blackhole_rt_redistribute_with_routemap_ipv6,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
79,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_clear,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
80,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_clear,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
81,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_peer_traffic_check,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
82,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_peer_traffic_check,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
83,gw2,routing/BGP/test_bgp.py,TestBGPL3Lag::test_ft_bgp_l3lag_peer_traffic_check,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
84,gw2,routing/BGP/test_bgp.py,TestBGPL3Lag::test_ft_bgp_l3lag_peer_traffic_check,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
85,gw2,routing/BGP/test_bgp.py,--Module--,V3,NE,NE,NE,NE,NE,NE
