#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf_scale.py,--Module--,V3,NE,NE,NE,NE,NE,NE
4,routing/VRF/test_vrf_scale.py,--Module--,V4,NE,NE,NE,NE,NE,NE
0,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,system/test_sflow.py,--Module--,V3,NE,NE,NE,NE,NE,NE
3,system/test_sflow.py,--Module--,V4,NE,NE,NE,NE,NE,NE
0,sanity/test_sanity_l3.py,test_l2_to_l3_port,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,sanity/test_sanity_l3.py,test_l2_to_l3_port,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,sanity/test_sanity_l3.py,--Module--,V3,NE,NE,NE,NE,NE,NE
1,sanity/test_sanity_l3.py,--Module--,V4,NE,NE,NE,NE,NE,NE
