#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw5,routing/test_ndp.py,V2,UNKNOWN,VS,scapy,3,3,100.00%,0:01:44
2,gw5,system/test_device_mgmt.py,V2,UNKNOWN,VS,scapy,1,0,0.00%,0:02:39
3,gw7,routing/test_l3_performance.py,V1,UNKNOWN,VS,scapy,8,6,75.00%,0:03:53
4,gw7,routing/test_arp.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:02:03
5,gw7,qos/test_qos_save_reboot.py,V1,UNKNOWN,VS,scapy,8,8,100.00%,0:08:04
6,gw2,routing/VRF/test_vrf.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,17,15,88.24%,0:17:55
7,gw2,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,46,88.46%,0:40:22
8,gw2,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:10:43
9,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:14
10,gw3,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,2,33.33%,0:59:31
11,gw3,routing/test_ip.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,21,15,71.43%,0:10:07
12,gw3,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:08:21
