#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
32,gw2,Regression,ft_bgp_v4peer_asn4,Pass,Mapped,2024-01-03 01:23:34,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",
33,gw2,Regression,ft_bgp_sonic_show_summary_neigh,Pass,Mapped,2024-01-03 01:23:34,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",
34,gw2,Regression,ft_ipv4_bgp_ibgp_ebgp_traffic,Pass,Mapped,2024-01-03 01:27:04,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
35,gw2,Regression,ft_bgp_update_delay_timer,Pass,Mapped,2024-01-03 01:27:04,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
36,gw2,Regression,FtOtSoRtBgp4Fn049,Pass,Mapped,2024-01-03 01:27:04,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
37,gw2,Regression,FtOtSoRtBgp4Fn025,Pass,Mapped,2024-01-03 01:27:04,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
38,gw2,Regression,FtOtSoRtBgp4Fn063,Pass,Mapped,2024-01-03 01:27:16,Test case passed,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,routing/BGP/test_bgp.py,"V3, V4",
39,gw2,Regression,FtOtSoRtBgp4Fn001,Fail,Mapped,2024-01-03 01:28:57,Test case Failed.,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,routing/BGP/test_bgp.py,"V3, V4",
40,gw2,Regression,FtOtSoRtBgp4Fn002,Pass,Mapped,2024-01-03 01:30:42,Test case passed,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,routing/BGP/test_bgp.py,"V3, V4",
41,gw2,Regression,FtOtSoRtBgp4Fn061,Fail,Mapped,2024-01-03 01:31:23,Test case Failed Neighbour is failed to Establish between Leaf - TG,TestBGPRif.test_bgp_route_aggregation_4byteASN,routing/BGP/test_bgp.py,"V3, V4",
42,gw2,Regression,FtOtSoRtBgpPlFn001,Pass,Mapped,2024-01-03 01:32:24,Test case passed,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,routing/BGP/test_bgp.py,"V3, V4",
43,gw2,Regression,FtOtSoRtBgp4Fn060,Pass,Mapped,2024-01-03 01:32:56,Test case passed,TestBGPRif.test_ft_bgp_v4_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
44,gw2,Regression,FtOtSoRtBgpPlFn004,Pass,Mapped,2024-01-03 01:33:27,Test case passed,TestBGPRif.test_ft_bgp_v6_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
45,gw3,L3 Scale and Performance,FtRtPerfFn024,Fail,Mapped,2024-01-03 01:33:27,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V1, V2",
46,gw3,L3 Scale and Performance,FtRtPerfFn023,Fail,Mapped,2024-01-03 01:33:27,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V1, V2",
47,gw3,VRF-Lite,FtOpSoRoVrfFun052,Fail,Mapped,2024-01-03 01:33:27,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V1, V2",
48,gw3,VRF-Lite,FtOpSoRoVrfScl057,Pass,Mapped,2024-01-03 01:35:33,Test case passed,test_vrf_route_leak,routing/VRF/test_vrf_scale.py,"V1, V2",
49,gw2,Regression,FtOtSoRtBgp4Fn019,Fail,Mapped,2024-01-03 01:38:10,Test case Failed Failed to form BGP peering using max dynamic ipv4 neighbors,TestBGPRif.test_ft_bgp_v4_max_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
