Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,56.98%,86,49,37,2,58.33%,0:50:54,0,2.33%,0.00%,0.00%,0.00%,1:24:59
warmboot,0.00%,3,0,3,0,0.00%,0:05:13,0,0.00%,0.00%,0.00%,0.00%,0:10:26
PortChannel Config Enhancements,0.00%,1,0,1,0,0.00%,0:00:40,0,0.00%,0.00%,0.00%,0.00%,0:01:20
Instrumentation Enhancements,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
SNMP MIB and Traps,33.33%,3,1,2,1,50.00%,0:00:12,0,33.33%,0.00%,0.00%,0.00%,0:00:12
Regression,44.90%,49,22,27,0,44.90%,0:40:39,0,0.00%,0.00%,0.00%,0.00%,1:08:51
Control Plane ACL,66.67%,3,2,1,0,66.67%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:11,0,0.00%,0.00%,0.00%,0.00%,0:02:11
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:40,0,0.00%,0.00%,0.00%,0.00%,0:01:40
