#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,switching/test_vlan.py,test_ft_add_unknownvlan_interface,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,switching/test_vlan.py,test_ft_add_unknownvlan_interface,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_vlan.py,test_ft_vlan_delete_with_member,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_vlan.py,test_ft_vlan_delete_with_member,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,switching/test_vlan.py,test_ft_vlan_trunk_tagged,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,switching/test_vlan.py,test_ft_vlan_trunk_tagged,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,switching/test_vlan.py,--Module--,V3,NE,NE,NE,NE,NE,NE
4,switching/test_vlan.py,--Module--,V4,NE,NE,NE,NE,NE,NE
0,system/test_ssh.py,test_ft_ssh_service_disable,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,system/test_ssh.py,test_ft_ssh_service_disable,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,system/test_ssh.py,--Module--,V3,NE,NE,NE,NE,NE,NE
3,system/test_ssh.py,--Module--,V4,NE,NE,NE,NE,NE,NE
