Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,82.58%,132,109,23,6,86.51%,3:03:40,0,3.03%,0.00%,0.00%,1.52%,5:52:09
NAT,0.00%,3,0,3,3,0.00%,0:12:53,0,100.00%,0.00%,0.00%,0.00%,0:12:53
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:44,0,0.00%,0.00%,0.00%,0.00%,1:11:28
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:02:55,0,0.00%,0.00%,0.00%,0.00%,0:05:50
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:10:42,0,0.00%,0.00%,0.00%,0.00%,0:21:24
RIF Counters,75.00%,4,3,1,1,100.00%,0:02:29,0,0.00%,0.00%,0.00%,25.00%,0:04:58
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:52,0,0.00%,0.00%,0.00%,0.00%,1:27:44
Regression,90.43%,94,85,9,2,92.39%,1:15:05,0,1.06%,0.00%,0.00%,1.06%,2:27:52
