#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/test_arp.py,V4,UNKNOWN,VS,scapy,1,1,100.00%,0:01:41
2,gw4,qos/test_qos_save_reboot.py,V4,UNKNOWN,VS,scapy,8,8,100.00%,0:08:52
3,gw7,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:04:24
4,gw7,routing/test_ndp.py,V3,UNKNOWN,VS,scapy,3,0,0.00%,0:02:03
5,gw7,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,0,0.00%,0:01:54
6,gw2,routing/BGP/test_bgp.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,52,48,92.31%,0:40:39
7,gw2,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,15,88.24%,0:18:21
8,gw2,system/test_sflow.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:10:42
9,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:18
10,gw3,routing/VRF/test_vrf_scale.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,6,2,33.33%,1:01:15
11,gw3,routing/test_ip.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,21,20,95.24%,0:09:43
12,gw3,sanity/test_sanity_l3.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:02:55
