#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,switching/test_portchannel.py,--Module--,V1,NE,NE,NE,NE,NE,NE
2,switching/test_portchannel.py,--Module--,V2,NE,NE,NE,NE,NE,NE
0,system/test_ssh.py,test_ft_ssh_service_disable,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,system/test_ssh.py,test_ft_ssh_service_disable,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,system/test_ssh.py,--Module--,V1,NE,NE,NE,NE,NE,NE
3,system/test_ssh.py,--Module--,V2,NE,NE,NE,NE,NE,NE
0,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_interface.py,--Module--,V1,NE,NE,NE,NE,NE,NE
1,system/test_interface.py,--Module--,V2,NE,NE,NE,NE,NE,NE
