#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Instrumentation,ft_sf_wm_telemetry_interval,Pass,Mapped,2024-01-05 01:31:45,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V1,
2,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,Fail,SubTest,2024-01-05 01:31:45,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V1,
3,Regression,ft_tacacsauth_enable_pamfile_created,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
4,Regression,ft_tacacs_ssh_login,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
5,Regression,ft_tacacs_single_server_for_auth,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
6,Regression,ft_tacacs_default_login,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
7,Regression,executing_server_key_in_appropriate_mode,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
8,Regression,auth_shared_keys ,Fail,Mapped,2024-01-05 01:37:47,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V1,
