#,Node,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw4,system/test_snapshot.py,1,NE,NE,NE,NE,NE,NE
2,gw5,security/test_tacacs.py,1,NE,NE,NE,NE,NE,NE
3,gw7,system/test_snmp.py,1,NE,NE,NE,NE,NE,NE
4,gw6,system/test_ntp.py,1,NE,NE,NE,NE,NE,NE
5,gw2,switching/test_vlan.py,2,NE,NE,NE,NE,NE,NE
6,gw2,system/test_lldp.py,2,NE,NE,NE,NE,NE,NE
7,gw2,system/test_interface.py,2,NE,NE,NE,NE,NE,NE
8,gw3,switching/test_portchannel.py,2,NE,NE,NE,NE,NE,NE
9,gw3,system/test_ssh.py,2,NE,NE,NE,NE,NE,NE
