Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,80.92%,131,106,25,6,84.80%,3:17:30,0,3.05%,0.00%,0.00%,1.53%,6:08:35
NAT,0.00%,3,0,3,3,0.00%,0:12:49,0,100.00%,0.00%,0.00%,0.00%,0:12:49
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:34:19,0,0.00%,0.00%,0.00%,0.00%,1:08:38
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,1,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:09,0,0.00%,0.00%,0.00%,25.00%,0:04:18
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:11:35,0,0.00%,0.00%,0.00%,0.00%,0:23:10
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:58,0,0.00%,0.00%,0.00%,0.00%,1:27:56
Regression,89.25%,93,83,10,1,90.22%,1:32:40,0,0.00%,0.00%,0.00%,1.08%,2:51:44
