Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,83.70%,92,77,15,2,85.56%,1:15:50,0,0.00%,0.00%,0.00%,2.17%,2:31:40
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:02:04,0,0.00%,0.00%,0.00%,0.00%,0:04:08
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:06,0,0.00%,0.00%,0.00%,25.00%,0:04:12
Regression,86.96%,69,60,9,1,88.24%,0:53:26,0,0.00%,0.00%,0.00%,1.45%,1:46:52
VRF-Lite,88.24%,17,15,2,0,88.24%,0:18:14,0,0.00%,0.00%,0.00%,0.00%,0:36:28
