Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.28%,86,57,29,23,90.48%,1:26:36,0,26.74%,0.00%,0.00%,0.00%,2:40:12
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:07,0,100.00%,0.00%,0.00%,0.00%,0:26:14
warmboot,0.00%,3,0,3,0,0.00%,0:28:50,0,0.00%,0.00%,0.00%,0.00%,0:57:40
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,59.18%,49,29,20,17,90.62%,0:40:40,0,34.69%,0.00%,0.00%,0.00%,1:11:58
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,1,100.00%,0:02:08,0,4.17%,0.00%,0.00%,0.00%,0:02:08
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
