#,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,V1,reboot,normal,x86_64-kvm_x86_64-r0,,SONiC.202111.447579-f2a2906b6,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot
2,V1,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.447579-f2a2906b6,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot
3,V1,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.447579-f2a2906b6,system/test_ssh.py,test_ft_ssh_add_user_verify
