#,Module,Function,TestCase,Nodes
1,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,FtOpSoSyInIpFn002,
2,system/test_lldp.py,test_ft_lldp_LocManAddrLen,ft_lldp_LocManAddrLen,
3,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,ft_lldp_LocManAddrlfld,
4,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,ft_lldp_LocManAddrEntry,
5,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,ft_lldp_ConfigManAddrEntry,
6,system/test_lldp.py,test_ft_lldp_lldplocportid,ft_lldp_lldplocportid,
7,system/test_lldp.py,test_ft_lldp_lldplocsysname,ft_lldp_lldplocsysname,
8,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,ft_lldp_lldplocsysdesc,
9,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,ft_snmp_lldp_prem_manaddr_table,
10,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn004,
11,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn008,
12,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn009,
13,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn010,
14,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn011,
15,system/test_lldp.py,test_ft_lldp_docker_restart,FtOpSoSwlldpFn013,
16,system/test_lldp.py,test_lldp_verify_counters,lldp_verify_counters,
17,system/test_lldp.py,test_ft_lldp_with_remote_server,ft_lldp_with_remote_server,
