#,Module,Function,TestCase,Node,Type
1,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,FtOpSfFn004,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
2,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,FtOpSfFn008,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
3,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,FtOpSfFn005,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
4,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,FtOpSfFn017,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
