#,Module,Function,TestCase,Nodes
1,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,FtOpSfFn004,
2,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,FtOpSfFn008,
3,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,FtOpSfFn005,
4,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,FtOpSfFn017,
