Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,74.24%,132,98,34,13,82.35%,2:55:38,0,8.33%,0.00%,0.00%,1.52%,5:38:14
sFlow Hardening,0.00%,4,0,4,4,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
NAT,0.00%,3,0,3,3,0.00%,0:13:28,0,100.00%,0.00%,0.00%,0.00%,0:13:28
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:36:30,0,0.00%,0.00%,0.00%,0.00%,1:13:00
L3 Performance enhancements,0.00%,2,0,2,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:02:04,0,0.00%,0.00%,0.00%,0.00%,0:04:08
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:06,0,0.00%,0.00%,0.00%,25.00%,0:04:12
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:42,0,0.00%,0.00%,0.00%,0.00%,1:27:24
Regression,84.04%,94,79,15,5,88.76%,1:17:48,0,4.26%,0.00%,0.00%,1.06%,2:36:02
