#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,FtOpSoRtPerfFn052,Fail,Mapped,2023-12-26 02:29:19,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
2,L3 Performance enhancements,FtOpSoRtPerfFn026,Fail,Mapped,2023-12-26 02:29:19,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
3,L3 Performance enhancements,FtOpSoRtPerfFn025,Pass,SubTest,2023-12-26 02:29:19,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
4,Regression,FtOpSoRtPerfFn053,Pass,SubTest,2023-12-26 02:29:19,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
5,Regression,FtOpSoRtPerfFn055,Pass,Mapped,2023-12-26 02:30:32,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V1,
6,Regression,FtOpSoRtPerfFn054,Pass,SubTest,2023-12-26 02:30:32,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V1,
7,Regression,FtOpSoRtPerfFn057,Pass,Mapped,2023-12-26 02:30:54,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V1,
8,Regression,FtOpSoRtPerfFn056,Pass,SubTest,2023-12-26 02:30:54,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V1,
9,Regression,ft_arp_dynamic_renew_traffic_test,Pass,Mapped,2023-12-26 02:34:43,Test case passed,test_ft_arp_dynamic_renew_traffic_test,routing/test_arp.py,V1,
10,Regression,ft_ipv6_neighbor_static_entry,Pass,Mapped,2023-12-26 02:38:26,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V1,
11,Regression,ft_ipv6_ndp_clear_cache,Pass,Mapped,2023-12-26 02:38:26,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V1,
12,Regression,ft_ipv6_neighbor_entry,Pass,Mapped,2023-12-26 02:38:26,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V1,
