#,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,routing/test_l3_performance.py,,,0:00:29,2023-12-26 02:28:38,0,1,0,1,Module Prolog,V1,,
2,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,Fail,0:02:01,2023-12-26 02:29:19,0,1,0,1,Route table is not updated after advertising of routes on TG,V1,,
3,routing/test_l3_performance.py,test_cli_validation_ip_address,Pass,0:01:13,2023-12-26 02:30:32,0,1,0,1,Test case passed,V1,,
4,routing/test_l3_performance.py,test_cli_validation_bgp_router_config,Pass,0:00:23,2023-12-26 02:30:54,0,1,0,1,Test case passed,V1,,
5,routing/test_l3_performance.py,,,0:00:17,2023-12-26 02:31:11,0,1,0,1,Module Epilog,V1,,
6,routing/test_arp.py,,,0:00:53,2023-12-26 02:33:49,0,1,0,1,Module Prolog,V1,,
7,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,Pass,0:01:00,2023-12-26 02:34:43,0,1,0,1,Test case passed,V1,,
8,routing/test_arp.py,,,0:00:10,2023-12-26 02:34:53,0,1,0,1,Module Epilog,V1,,
9,routing/test_ndp.py,,,0:01:41,2023-12-26 02:38:15,0,1,0,1,Module Prolog,V1,,
10,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,Pass,0:00:16,2023-12-26 02:38:26,0,1,0,1,Test case passed,V1,,
11,routing/test_ndp.py,,,0:00:11,2023-12-26 02:38:36,0,1,0,1,Module Epilog,V1,,
