Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,65.91%,132,87,45,3,67.44%,2:59:39,0,0.76%,0.00%,0.00%,1.52%,5:56:13
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:30:50,0,0.00%,0.00%,0.00%,0.00%,1:01:40
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:40,0,0.00%,0.00%,0.00%,0.00%,0:07:20
VRF-Lite,19.05%,21,4,17,0,19.05%,0:47:04,0,0.00%,0.00%,0.00%,0.00%,1:34:08
RIF Counters,50.00%,4,2,2,1,66.67%,0:03:01,0,0.00%,0.00%,0.00%,25.00%,0:06:02
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:34,0,0.00%,0.00%,0.00%,0.00%,0:13:08
Regression,78.72%,94,74,20,2,80.43%,1:25:50,0,1.06%,0.00%,0.00%,1.06%,2:51:15
NAT,100.00%,3,3,0,0,100.00%,0:02:40,0,0.00%,0.00%,0.00%,0.00%,0:02:40
