#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/NAT/test_nat.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:02:33
2,gw4,routing/test_ndp.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:04:48
3,gw5,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:05:15
4,gw5,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:03:44
5,gw7,qos/test_qos_save_reboot.py,V2,UNKNOWN,VS,scapy,8,8,100.00%,0:11:16
6,gw6,routing/test_arp.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:02:22
7,gw2,routing/VRF/test_vrf_scale.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,6,6,100.00%,0:48:12
8,gw2,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:12:40
9,gw2,sanity/test_sanity_l3.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:55
10,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,3,50.00%,0:09:04
11,gw3,routing/BGP/test_bgp.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,52,37,71.15%,0:38:05
12,gw3,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,17,100.00%,0:18:10
13,gw3,routing/test_ip.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,21,15,71.43%,0:11:54
14,gw3,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:09:36
