#,Module,Function,TestCase,Nodes
1,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_disable_ntp_enable_ntp,
2,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_message_log_display_with_correct_time,
3,system/test_ntp.py,test_ntp_exists_config,ft_ntp_existsconfig,
4,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,FtOpSoSyInIpFn002,
5,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_wm_telemetry_interval,
6,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_snapshot_tam_Error_Logs,
7,system/test_ssh.py,test_ft_ssh_service_disable,ft_ssh_service_disable,
8,system/test_ssh.py,test_ft_ssh_add_user_verify,ft_ssh_add_user_verify,
9,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_snmp,
10,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_sshv4,
11,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_sshv6,
12,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,CETA_SONIC_67575,
13,system/test_lldp.py,test_ft_lldp_LocManAddrLen,ft_lldp_LocManAddrLen,
14,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,ft_lldp_LocManAddrlfld,
15,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,ft_lldp_LocManAddrEntry,
16,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,ft_lldp_ConfigManAddrEntry,
17,system/test_lldp.py,test_ft_lldp_lldplocportid,ft_lldp_lldplocportid,
18,system/test_lldp.py,test_ft_lldp_lldplocsysname,ft_lldp_lldplocsysname,
19,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,ft_lldp_lldplocsysdesc,
20,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,ft_snmp_lldp_prem_manaddr_table,
21,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn004,
22,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn008,
23,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn009,
24,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn010,
25,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn011,
26,system/test_lldp.py,test_ft_lldp_docker_restart,FtOpSoSwlldpFn013,
27,system/test_lldp.py,test_lldp_verify_counters,lldp_verify_counters,
28,system/test_lldp.py,test_ft_lldp_with_remote_server,ft_lldp_with_remote_server,
29,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,auth_shared_keys ,
30,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,executing_server_key_in_appropriate_mode,
31,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_default_login,
32,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_single_server_for_auth,
33,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_ssh_login,
34,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacsauth_enable_pamfile_created,
35,system/test_snmp.py,test_ft_snmp_sysName,ft_snmp_sysName,
36,system/test_snmp.py,test_ft_snmp_test_syUpTime,ft_snmp_test_syUpTime,
37,system/test_snmp.py,test_ft_snmp_sysDescr,ft_snmp_sysDescr,
38,system/test_snmp.py,test_ft_snmp_mib_2,FtOpSoSySnFn008,
39,system/test_snmp.py,test_ft_snmp_if_mib_all,FtOpSoSySnFn009,
40,system/test_snmp.py,test_ft_snmp_entity_mib_all,FtOpSoSySnFn010,
41,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn012,
42,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn013,
43,system/test_snmp.py,test_ft_snmp_root_node_walk,FtOpSoSySnFn015,
44,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,FtOpSoSySnFn016,
45,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,FtOpSoSySnFn017,
46,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,FtOpSoSySnFn020,
47,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,FtOpSoSySnFn021,
48,system/test_snmp.py,test_ft_snmp_ip_forward_table,test_snmp_ip_forward_table,
49,system/test_snmp.py,test_ft_snmp_ifx_table,ft_snmp_ifXTable,
50,system/test_snmp.py,test_ft_snmp_ip_System_Stats_Table,ft_snmp_ip_System_Stats_Table,
51,system/test_snmp.py,test_ft_snmp_ip_IfStats_Table,ft_snmp_ip_IfStats_Table,
52,system/test_snmp.py,test_ft_snmp_ip_Address_Table,ft_snmp_ip_Address_Table,
53,system/test_snmp.py,test_ft_snmp_ip_NetToPhysical_Table,ft_snmp_ip_NetToPhysical_Table,
54,system/test_snmp.py,test_ft_snmp_icmp_Msgs,ft_snmp_icmp_Msgs,
55,system/test_snmp.py,test_ft_snmp_tcp_mib,ft_snmp_tcp_mib,
56,system/test_snmp.py,test_ft_snmp_udp_mib,ft_snmp_udp_mib,
57,system/test_snmp.py,test_ft_snmp_snmpv2_mib,ft_snmp_snmpv2_mib,
58,system/test_snmp.py,test_ft_snmp_host_resource_mib,ft_snmp_host_resource_mib,
59,system/test_snmp.py,test_ft_snmp_framework_mib,ft_snmp_framework_mib,
60,system/test_snmp.py,test_ft_snmp_mpd_mib,ft_snmp_mpd_mib,
61,system/test_snmp.py,test_ft_snmp_target_mib,ft_snmp_target_mib,
62,system/test_snmp.py,test_ft_snmp_notification_mib,ft_snmp_notification_mib,
63,system/test_snmp.py,test_ft_snmp_user_based_sm_mib,ft_snmp_user_based_sm_mib,
64,system/test_snmp.py,test_ft_snmp_view_based_acm_mib,ft_snmp_view_based_acm_mib,
65,system/test_snmp.py,test_ft_snmp_ent_physical_table,ft_snmp_ent_physical_table,
66,system/test_snmp.py,test_ft_snmp_dot3_stats_table,ft_snmp_dot3_stats_table,
