Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,72.00%,25,18,7,0,72.00%,1:31:00,0,0.00%,0.00%,0.00%,0.00%,3:02:00
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:26,0,0.00%,0.00%,0.00%,0.00%,1:10:52
Sanity,0.00%,1,0,1,0,0.00%,0:03:24,0,0.00%,0.00%,0.00%,0.00%,0:06:48
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:26,0,0.00%,0.00%,0.00%,0.00%,1:26:52
Regression,100.00%,1,1,0,0,100.00%,0:08:44,0,0.00%,0.00%,0.00%,0.00%,0:17:28
