Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,77.52%,129,100,29,10,84.03%,2:55:00,0,6.20%,0.00%,0.00%,1.55%,5:39:22
sFlow Hardening,0.00%,4,0,4,4,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
NAT,0.00%,3,0,3,3,0.00%,0:12:51,0,100.00%,0.00%,0.00%,0.00%,0:12:51
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:34:55,0,0.00%,0.00%,0.00%,0.00%,1:09:50
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:16,0,0.00%,0.00%,0.00%,0.00%,0:08:32
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:09,0,0.00%,0.00%,0.00%,25.00%,0:04:18
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:57,0,0.00%,0.00%,0.00%,0.00%,1:27:54
Regression,87.91%,91,80,11,2,89.89%,1:16:52,0,1.10%,0.00%,0.00%,1.10%,2:35:57
