#,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,routing/test_l3_performance.py,V2,UNKNOWN,VS,scapy,8,4,50.00%,0:05:40
2,qos/test_qos_save_reboot.py,V2,UNKNOWN,VS,scapy,8,8,100.00%,0:08:49
