Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,68.60%,86,59,27,22,92.19%,1:40:57,0,25.58%,0.00%,0.00%,0.00%,2:57:59
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:07,0,100.00%,0.00%,0.00%,0.00%,0:26:14
warmboot,0.00%,3,0,3,0,0.00%,0:29:03,0,0.00%,0.00%,0.00%,0.00%,0:58:06
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,63.27%,49,31,18,16,93.94%,0:54:49,0,32.65%,0.00%,0.00%,0.00%,1:29:20
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,1,100.00%,0:02:07,0,4.17%,0.00%,0.00%,0.00%,0:02:07
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
