#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-02 01:26:41,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V1,
2,Regression,ft_snmp_test_syUpTime,Pass,Mapped,2024-01-02 01:26:47,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V1,
3,Regression,ft_snmp_sysDescr,Pass,Mapped,2024-01-02 01:26:55,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V1,
4,Regression,FtOpSoSySnFn008,Pass,Mapped,2024-01-02 01:27:02,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V1,
5,Regression,FtOpSoSySnFn009,Pass,Mapped,2024-01-02 01:27:07,Test case passed,test_ft_snmp_if_mib_all,system/test_snmp.py,V1,
6,Regression,FtOpSoSySnFn010,Pass,Mapped,2024-01-02 01:27:11,Test case passed,test_ft_snmp_entity_mib_all,system/test_snmp.py,V1,
7,Regression,FtOpSoSySnFn013,Pass,Mapped,2024-01-02 01:27:16,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V1,
8,Regression,FtOpSoSySnFn012,Pass,Mapped,2024-01-02 01:27:16,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V1,
9,Regression,FtOpSoSySnFn015,Pass,Mapped,2024-01-02 01:27:25,Test case passed,test_ft_snmp_root_node_walk,system/test_snmp.py,V1,
10,Regression,FtOpSoSySnFn016,Pass,Mapped,2024-01-02 01:27:36,Test case passed,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,V1,
11,Regression,FtOpSoSySnFn017,Pass,Mapped,2024-01-02 01:27:41,Test case passed,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,V1,
12,Regression,FtOpSoSySnFn020,Pass,Mapped,2024-01-02 01:27:46,Test case passed,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,V1,
13,Regression,FtOpSoSySnFn021,Pass,Mapped,2024-01-02 01:27:51,Test case passed,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,V1,
14,Regression,test_snmp_ip_forward_table,Pass,Mapped,2024-01-02 01:27:58,Test case passed,test_ft_snmp_ip_forward_table,system/test_snmp.py,V1,
15,SNMP Agent Optimization,ft_snmp_ifXTable,Pass,Mapped,2024-01-02 01:28:04,Test case passed,test_ft_snmp_ifx_table,system/test_snmp.py,V1,
16,SNMP Agent Optimization,ft_snmp_ip_System_Stats_Table,Pass,Mapped,2024-01-02 01:28:09,Test case passed,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,V1,
17,SNMP Agent Optimization,ft_snmp_ip_IfStats_Table,Pass,Mapped,2024-01-02 01:28:14,Test case passed,test_ft_snmp_ip_IfStats_Table,system/test_snmp.py,V1,
18,SNMP Agent Optimization,ft_snmp_ip_Address_Table,Pass,Mapped,2024-01-02 01:28:19,Test case passed,test_ft_snmp_ip_Address_Table,system/test_snmp.py,V1,
19,SNMP Agent Optimization,ft_snmp_ip_NetToPhysical_Table,Pass,Mapped,2024-01-02 01:28:24,Test case passed,test_ft_snmp_ip_NetToPhysical_Table,system/test_snmp.py,V1,
20,SNMP Agent Optimization,ft_snmp_icmp_Msgs,Pass,Mapped,2024-01-02 01:28:29,Test case passed,test_ft_snmp_icmp_Msgs,system/test_snmp.py,V1,
21,SNMP Agent Optimization,ft_snmp_tcp_mib,Pass,Mapped,2024-01-02 01:28:36,Test case passed,test_ft_snmp_tcp_mib,system/test_snmp.py,V1,
22,SNMP Agent Optimization,ft_snmp_udp_mib,Pass,Mapped,2024-01-02 01:28:41,Test case passed,test_ft_snmp_udp_mib,system/test_snmp.py,V1,
23,SNMP Agent Optimization,ft_snmp_snmpv2_mib,Pass,Mapped,2024-01-02 01:28:46,Test case passed,test_ft_snmp_snmpv2_mib,system/test_snmp.py,V1,
24,SNMP Agent Optimization,ft_snmp_host_resource_mib,Pass,Mapped,2024-01-02 01:28:51,Test case passed,test_ft_snmp_host_resource_mib,system/test_snmp.py,V1,
25,SNMP Agent Optimization,ft_snmp_framework_mib,Pass,Mapped,2024-01-02 01:28:56,Test case passed,test_ft_snmp_framework_mib,system/test_snmp.py,V1,
26,SNMP Agent Optimization,ft_snmp_mpd_mib,Pass,Mapped,2024-01-02 01:29:01,Test case passed,test_ft_snmp_mpd_mib,system/test_snmp.py,V1,
27,SNMP Agent Optimization,ft_snmp_target_mib,Pass,Mapped,2024-01-02 01:29:05,Test case passed,test_ft_snmp_target_mib,system/test_snmp.py,V1,
28,SNMP Agent Optimization,ft_snmp_notification_mib,Pass,Mapped,2024-01-02 01:29:10,Test case passed,test_ft_snmp_notification_mib,system/test_snmp.py,V1,
29,SNMP Agent Optimization,ft_snmp_user_based_sm_mib,Pass,Mapped,2024-01-02 01:29:15,Test case passed,test_ft_snmp_user_based_sm_mib,system/test_snmp.py,V1,
30,SNMP Agent Optimization,ft_snmp_view_based_acm_mib,Pass,Mapped,2024-01-02 01:29:20,Test case passed,test_ft_snmp_view_based_acm_mib,system/test_snmp.py,V1,
31,SNMP Agent Optimization,ft_snmp_ent_physical_table,Pass,Mapped,2024-01-02 01:29:25,Test case passed,test_ft_snmp_ent_physical_table,system/test_snmp.py,V1,
32,SNMP Agent Optimization,ft_snmp_dot3_stats_table,Pass,Mapped,2024-01-02 01:29:30,Test case passed,test_ft_snmp_dot3_stats_table,system/test_snmp.py,V1,
33,SNMP Agent Optimization,ft_net_snmp_agent_mib,Pass,Mapped,2024-01-02 01:29:36,Test case passed,test_ft_net_snmp_agent_mib,system/test_snmp.py,V1,
34,SNMP Agent Optimization,ft_net_snmp_vacm_mib,Pass,Mapped,2024-01-02 01:29:41,Test case passed,test_ft_net_snmp_vacm_mib,system/test_snmp.py,V1,
35,SNMP Agent Optimization,ft_snmp_ucd_diskio_mib,Pass,Mapped,2024-01-02 01:29:45,Test case passed,test_ft_snmp_ucd_diskio_mib,system/test_snmp.py,V1,
36,SNMP Agent Optimization,ft_snmp_ucd_la_table,Pass,Mapped,2024-01-02 01:29:50,Test case passed,test_ft_snmp_ucd_la_table,system/test_snmp.py,V1,
37,SNMP Agent Optimization,ft_snmp_ucd_system_stats,Pass,Mapped,2024-01-02 01:29:55,Test case passed,test_ft_snmp_ucd_system_stats,system/test_snmp.py,V1,
38,SNMP MIB and Traps,SNMPQBr003,Fail,Mapped,2024-01-02 01:30:02,SNMP output is not found after walk of dot1qTpFdbPort OID,test_ft_snmp_dot1q_tp_fdb_port,system/test_snmp.py,V1,
39,SNMP MIB and Traps,SNMPQBr002,Pass,Mapped,2024-01-02 01:30:07,Test case passed,test_ft_snmp_dot1q_tp_fdb_address,system/test_snmp.py,V1,
40,In-Memory Debug Log,FtOpSoSysImLogFn012,EnvFail,Mapped,2024-01-02 01:30:26,Test case Failed Couldn't get the snmptrapd process details from snmp trap server. Please check the snmp trap server process in the server.,test_ft_snmp_coldstart_trap,system/test_snmp.py,V1,
41,SNMP MIB and Traps,SNMPTrap004,EnvFail,Mapped,2024-01-02 01:30:26,Test case Failed Couldn't get the snmptrapd process details from snmp trap server. Please check the snmp trap server process in the server.,test_ft_snmp_coldstart_trap,system/test_snmp.py,V1,
