Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,63.95%,86,55,31,2,65.48%,0:57:34,0,2.33%,0.00%,0.00%,0.00%,1:42:30
Control Plane ACL,0.00%,3,0,3,0,0.00%,0:02:40,0,0.00%,0.00%,0.00%,0.00%,0:05:20
warmboot,0.00%,3,0,3,0,0.00%,0:28:41,0,0.00%,0.00%,0.00%,0.00%,0:57:22
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
SNMP MIB and Traps,33.33%,3,1,2,1,50.00%,0:00:12,0,33.33%,0.00%,0.00%,0.00%,0:00:12
Regression,57.14%,49,28,21,0,57.14%,0:22:14,0,0.00%,0.00%,0.00%,0.00%,0:35:28
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:09,0,0.00%,0.00%,0.00%,0.00%,0:02:09
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:00:58,0,0.00%,0.00%,0.00%,0.00%,0:00:58
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
