Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,ft_add_unknownvlan_interface,Pass,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V3, V4",,,,,
Regression,,ft_vlan_delete_with_member,Pass,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V3, V4",,,,,
Regression,,FtOpSoSwLagFn042,Pass,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V1, V2",,,,,
Regression,,FtOpSoSwLagFn041,Pass,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V1, V2",,,,,
Regression,,ft_vlan_trunk_tagged,Fail,Failed to learn  MAC Adresses in vlan 3680,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V3, V4",,,,,
Regression,,ft_show_vlan_brief,Fail,Failed to learn  MAC Adresses in vlan 3680,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V3, V4",,,,,
PortChannel Config Enhancements,,FtOpSoSwPominFn007,Pass,Test case passed,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,"V1, V2",,,,,
Regression,,ft_lldp_LocManAddrLen,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrLen,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_LocManAddrlfld,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_LocManAddrEntry,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_ConfigManAddrEntry,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_lldplocportid,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocportid,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_lldplocsysname,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysname,system/test_lldp.py,"V1, V2",,,,,
Regression,,ft_lldp_lldplocsysdesc,Fail,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,"V1, V2",,,,,
