Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,68.18%,132,90,42,2,69.23%,2:55:19,0,0.00%,0.00%,0.00%,1.52%,5:46:48
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:29:13,0,0.00%,0.00%,0.00%,0.00%,0:58:26
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:25,0,0.00%,0.00%,0.00%,0.00%,0:08:50
VRF-Lite,19.05%,21,4,17,0,19.05%,0:45:20,0,0.00%,0.00%,0.00%,0.00%,1:30:40
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:06,0,0.00%,0.00%,0.00%,25.00%,0:04:12
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:08:43,0,0.00%,0.00%,0.00%,0.00%,0:17:26
Regression,81.91%,94,77,17,1,82.80%,1:22:59,0,0.00%,0.00%,0.00%,1.06%,2:44:41
NAT,100.00%,3,3,0,0,100.00%,0:02:33,0,0.00%,0.00%,0.00%,0.00%,0:02:33
