#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/NAT/test_nat.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:02:33
2,gw4,routing/test_arp.py,V4,UNKNOWN,VS,scapy,1,1,100.00%,0:02:43
3,gw4,qos/test_qos_save_reboot.py,V4,UNKNOWN,VS,scapy,8,8,100.00%,0:07:02
4,gw7,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:04:59
5,gw7,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:01:39
6,gw7,routing/test_ndp.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:48
7,gw2,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,1,16.67%,0:54:03
8,gw2,system/test_sflow.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:08:43
9,gw2,sanity/test_sanity_l3.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:25
10,gw2,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:09:21
11,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:57
12,gw3,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,47,90.38%,0:38:25
13,gw3,routing/VRF/test_vrf.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,17,3,17.65%,0:20:30
14,gw3,routing/test_ip.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,21,7,33.33%,0:09:11
