#,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,system/test_snapshot.py,1,NE,NE,NE,NE,NE,NE
2,security/test_tacacs.py,1,NE,NE,NE,NE,NE,NE
