Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,81.82%,132,108,24,6,85.71%,3:18:45,0,3.03%,0.00%,0.00%,1.52%,6:09:54
NAT,0.00%,3,0,3,3,0.00%,0:12:51,0,100.00%,0.00%,0.00%,0.00%,0:12:51
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:04,0,0.00%,0.00%,0.00%,0.00%,1:10:08
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,1,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:06,0,0.00%,0.00%,0.00%,25.00%,0:04:12
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:12:03,0,0.00%,0.00%,0.00%,0.00%,0:24:06
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:25,0,0.00%,0.00%,0.00%,0.00%,1:26:50
Regression,90.43%,94,85,9,1,91.40%,1:33:16,0,0.00%,0.00%,0.00%,1.06%,2:51:47
