Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,59.30%,86,51,35,2,60.71%,1:07:27,0,2.33%,0.00%,0.00%,0.00%,1:53:59
warmboot,0.00%,3,0,3,0,0.00%,0:12:02,0,0.00%,0.00%,0.00%,0.00%,0:24:04
Instrumentation Enhancements,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:20,0,100.00%,0.00%,0.00%,0.00%,0:00:20
Regression,44.90%,49,22,27,0,44.90%,0:50:39,0,0.00%,0.00%,0.00%,0.00%,1:24:44
Control Plane ACL,66.67%,3,2,1,0,66.67%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:13,0,33.33%,0.00%,0.00%,0.00%,0:00:13
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:01,0,0.00%,0.00%,0.00%,0.00%,0:02:01
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:25,0,0.00%,0.00%,0.00%,0.00%,0:00:50
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:47,0,0.00%,0.00%,0.00%,0.00%,0:01:47
