Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,68.64%,118,81,37,24,86.17%,2:45:51,0,19.49%,0.00%,0.00%,0.85%,5:30:56
NAT,0.00%,3,0,3,3,0.00%,0:13:13,0,100.00%,0.00%,0.00%,0.00%,0:13:13
RIF Counters,0.00%,3,0,3,3,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:26,0,0.00%,0.00%,0.00%,0.00%,1:10:52
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:24,0,0.00%,0.00%,0.00%,0.00%,0:06:48
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,74.07%,81,60,21,18,95.24%,0:59:30,0,20.99%,0.00%,0.00%,1.23%,2:11:27
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:10:52,0,0.00%,0.00%,0.00%,0.00%,0:21:44
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:26,0,0.00%,0.00%,0.00%,0.00%,1:26:52
