#,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,V1,reboot,fast,,,SONiC.master.440433-c0bc1d975,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication
2,V2,reboot,normal,,,SONiC.master.440433-c0bc1d975,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
