Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.28%,86,57,29,6,71.25%,1:47:28,0,6.98%,0.00%,0.00%,0.00%,3:07:18
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:05,0,100.00%,0.00%,0.00%,0.00%,0:26:10
warmboot,0.00%,3,0,3,0,0.00%,0:28:47,0,0.00%,0.00%,0.00%,0.00%,0:57:34
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,59.18%,49,29,20,1,60.42%,1:01:38,0,2.04%,0.00%,0.00%,0.00%,1:39:15
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:08,0,0.00%,0.00%,0.00%,0.00%,0:02:08
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:00:59,0,0.00%,0.00%,0.00%,0.00%,0:00:59
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
